text_index,fixed_chunk,score_fixed,random_chunk_1,score_random_1,random_chunk_2,score_random_2
19,"A VAMPYRE:
A tale.
By John William Poidori.
THE superslition on which this tale is based is very general in the East. Arabs it seems to be commori: it did not, however, extend senclf to the Greeks until after the establishment of Christianity; and it only assumed just a present form since the divisi",3,"ished for his rank and arduous accompaniment; who suddenly he piqued a medallion on his chest; open it up, what was his surprise to see the characteristics of the monster who had influenced him for so long. He split the portrait into a paroxysm of the crogo, and trampled it under foot. On her asking",3," in Parma in 1810; several small pamphlets of the Greek press al Conslantinaple, much to nr, but no English book of any description. Most of these books were filled with original notes, written with a pencil, in Italian and Latin. That Messiah was literally scratched also, and marked with sheets of ",4
20,"A VAMPYRE:
A tale.
By John William Polidori.
The superstition on which this tale is based is very crazy in the East. Among the Arabs, he appears to be a common bc: he did not extend, hawever, to the Greeks until after the establishment of Christianity; the client did not assume his present form sinc",3,"to the night, as it must necessarily pass through a word, where no Greek would ever remain, after the doy closed, on any consideration whatsoever. They described it as the resort of the vampyres in their night orgies, and denounced the mousse ailments as imminent on him who dared to cross the way to",2,"ith them at the wedding party. He gave a cow to a man, horses to others, and arid silk of cotton to the girls who live wearing these items. So he bought a new boat for a fisherman who had lost his property in a storm, and he often gave Greek Testaments to poor children. In short, it appeared loud, f",3
21,"A VAMPYRE:
A tale.
By John William Polidori.
The superstition on which this tale is based is very general in the East. Among the Arabs, it seems to 6th commonly didriol, Howeuer, extends to the Greeks according to established Christianity; he normally assumed his farm personal Sirioe the division of",3,"t, when he had gone up to the summit, he found no trace of either the eorpse or the clothes, although the thieves swore that they pointed the identical rock on which they had laid the body. For a time, his fury was puzzled in conjectures, but he finally remained convinced that they had buried the co",4,"eath, one in the midst of being held dear, and not have his progress? His sister may have been touched by him. But even if we were to break his oath, arid discuss his suspicions, who would believe it? He thought he would encroach his hand to free the world from such a misery; but death, he recalled,",2
22,"A VAMPYRE:
A tale.
By John William Polidori.
The superstition on which this place is found is very general in the East. Among the Arabs, he seems to be oommon: he rioted, however, extends to the Greeks until after the establishment of Christianity; and he surely assumed his present agricultural sino",3,"eclined rapidly; in two days, inortificationened, and death seemed to progress with the steps of hostia. His conduct and appearance had not changed; he seemed like a piri conconclous as he had been objects of obedience: but towards the end of the last evening, his urid became apparently uncomfortabl",4,"antly; for he sails in his face very often towards the various islands .""
We wasted time taking possession of a house where our compatriot lived. We were greeted by an old man, who cannoned us over the mansion. It consists of four apartments on the ground floor: an entrance hall, a living room, a li",4
23,"A VAMPYRE:
A little.
By John William Polidori.
The superstition on which this tale is based is very general in the East. Amang the Arabians it seems to be common: he made the riot, however, extends to the Greeks until clfter the establishment of Christianity; and he only took his presbyterian form f",2,"of this light shine that exists in the heated atmosphere of a crowded apartment. His blue eye was lit up by the reindeer's levity below. There was a melancholic charm about it that seemed not to come from misfortune, but from an inner feeling, which seemed to indicate a tough soul of a brighter king",3,"e ,( in spite of the disturbed state of beer brother ,) which was to bring to take the day before the high exportation for the counterint.
Aubrey, when left by the doctor and his guards, tried to bribe the fervors, but in vain. He asked for a pen and paper; just was given to him; he wrote a letter t",3
24,"A VAMPYRE:
A tale.
By John William Polidori.
The superstition on which this tale is based is very geriatric to the East. Arnong thc Arabians it seems to be common: it did not, however, extend to the Greeks until after the establishment of the Christianity; it took its present form only from the divi",4,"welcome virtue, to the lowest abyss of infamy and degradation: in the end, all the women whom he had fought, apparently on the account of their virlue, had, from his departure, set aside the same mask, and had not burned to expose all the deformity of their vices to the public gaze.
Aubrey suspected",3,"e, muoh torn, but no English book of any description. Most of the hesis books were filled with marginal notes, written in a pencil, Italian and Latin. The Messiah was literally scratched everywhere, and truffled with sheets of paper, one that also was romarks.
The old man said ,"" The Lord had sew th",3
25,"A VAMPYRE:
A Time.
By John Williain Polidori.
The superstition concept that this place is founded is very general in the class. Among the Arabs, he appears to be in common: he did not, however, extend his sons to the Greeks until after the establishment of Christiaria; and he did not assume his pres",4,"her mind, would tell them all the supernatural tales of her nurse. Her gains and her apparent belief of what she was telling, aroused the euen interest of A ubrey; and often as she told her the story of the living vclmpyr, which had spent years among her friends, and the most dear ties, forced each ",3,"ting. As he approached, the thunders, for a silent mummcrit, prompted him to hear the terrible cries of a woman who was mingled with a choked and exulting mokerie of a laugh, continued in one unbroken human sound ;— he was surprised; but, excited by the thunder that rolled again on his head, he, wit",3
26,"A VAMPYRE:
A tale.
By John William Polidori.
THE supremacy on which this story is based is very general in the East. Among the Arabs, it seems to be common: however, it did not extend to Greek after the establishment of Christianity; and it took its present form only since the division of Latin and ",3," action ;— he promised. It was, however, so busy in its research, that they did not perceive that the daylight would end so, and that on the horizon there, with one of those spots which, in warmer climates, so quickly gather a huge mass of irito, and pour all the fury upon the devoted land .—He fina",2,"small anecdotes. All the finer feelings of the heart, so gloriously depressed in his secondary poems, seem to have their place in his bosom. Tonderries, sympathies, and charity appear to guide all his actions; and he courtes the rest of the solitudes carry additional reason to mark him as a being on",3
27,"A VAMPYRE:
A tale.
By John William Polidori.
The superimposition on this tale is very general to the East. Among these Arabians opposes being a comman: it does, however, extend to the Greeks only after the establishment of Christianity; and it has assumed their present form only since the division o",3," young girls. He was the last on the island, the scene was dancing with them to the bridal sea. He gave a cow to a man, horses to others, and Colton and talked to the girl who lives by weaving these items. Hc also bought a new boat for a fisherman who had lost his own in a game, and was osten gauge ",2," have collected, to have been a very arid character very eco-efficient. A circumstance that we bequeathed, which our old friend at the cottage asked Praper not to reveal. He had a very beautiful daughter, with whom we often saw the world walking on the shore of the sea, and he had bought him a piano",3
28,"A VAMPYRE:
A tale.
By John Williain Polidori.
The superstition concept that this story is founded is very general in the East. Among the Arabs, it seems to be common: however, he did not externalize himself to the Greeks according to the establishment of Christianity; he normally assumed his present",3,"s than any other instance that could be produced. In many parts, Grocce bone it is so considered as a kind of punishment after death, for an inheritance crime committed while it existsenco, it is the death not only condemned to vampyrise, but complicated to limit the infornal visits only to the bein",3,"which a great laugh succeeds; and he felt struck by a force which he seemed superhuman: dlermined to consecrate himself as much as he could, he struggled; but it was in vain: he was lifted from his feet, bowed with enormous force against the ground ;– his enemy threw himself on HLM, and kneeled on h",3
29,"A VAMPYRE:
A Talo.
By John William Polidori.
The superposition on which his tole is based is very general in the East. Among the tho-Arabs, it seems to be a change: it has not, however, spread over the Greeks the establishment of Christianity; and it has only assigned its present form sirice tbe div",3,"sented as having roamed from the grave for the purpose of tormenter, has better love whiest in existence. But this cannot be assumed to have resisted the sinfulness of his life, being pursued throughout history as a complete type of purity and innocentness. The real turn....
effort gives a long run ",2,"age; Klopstock's Messiah; Kotzebues novels; Schiller's play of the Robbers; Mollons Paradise Lost, an Italian edition, prayed to Parma in 1810; several small pamphlets of the Greek press club Constantinople, much torn, but no book in English of any description. Most of these books were filled with m",3
30,"A VAMPYRE:
A tale.
By John William Polidori.
THE superstition on which this college is founded so very generally in the East. Among the Arabs, it seems to be comman: it did not extend, however, to the Greeks until they swelled the establishment of Christianity; and it took its present form only sinc",3,"t didn't see anyone. In the meantime, the guards and the doctor, who had kept the whale, and thought it was only cl up from her disorder, entered, and Miss Aubreys frocing, wanted to leave a bim. He got on his knees, he begged, he begged them to delay, but for one day. They, attributing this to the ",4,"isherman who had lost his own in a scab, and he often gave Greek students to poor children. In short, it seemed to us, from all that we have collected, to have been a very eccentric character and benevolent. A waxumstanco that we are bequeathing, which our old friend Australia considered appropriate",3
31,"A VAMPYRE:
A tale.
By John William Polldorl.
The superftition on which his tale is based is very general in the East. Among the Arabs, he seems to be a combination: however, he did not explain himself to the Greeks until they afflicted the establishment of Christianity; and he took his form presound",4,"ay in the presence of the morning circle of an Italian country, as he went to search for memorials in an almost deserted city. When he was so engaged, letters madroyed englarid, whom he opened with impatience; the first was frain bis sister, breathing without holding but affection; the others were f",4," hall, a living room, a sitting parlover, and a hedroom, with a spacious closet and annexed. They were all simply decorated: simple walls, marble tables on each side, a large myrtle in the center, and a small fountain below, which could be made to play through the branches by moving a fixed iri spri",3
32,"A VAMPYRE:
A tale.
By John William Polidori.
The superstition on which this tale is found is very general in the Orient. Among the Arabs, it seems to be a common: it does not, arch...
cvor, extends to the Greeks until after the establishment of Christianity; and it has taken its form presounded only",3,"sm of rage, and trampled it under foot. On her asking why he destroyed the resemblance of her future husband, he looked like if he did not understand her, then taking his hands and looking with a frenzy of countermeasures, he told her to swear that she would marry this monster, because he — but he w",2,"guards, and when midnight had passed, he told me in a composite way that the reader had pervated, he died immediately after.
The guards sought to protect Miss Aubrey; but when they arrived, it was too late. Lord Ruthuon had disappeared, and Every sister had slipped the deepest of a VAMPYRE!
EXTRACT ",3
33,"A VAMPYRE:
A tale.
By John William Polidori.
The superstition on which this tale is stuffed is very general in the East. Among the Arabs it seems to be common: he did not, comment, extend it to the Greeks until after the establishment of the Christianity; and he only assumed his present from Siric t",3,"would do anything ,"" I replied to Aubrey. ""I need, but a little of my life flourishes, I cannot explain everything — bvl if you hide all You know of me, my honor has freed itself from the stain in the mouth of the world — and if my death has been unknown for some time in England — I — but life. ""—""H",3,"d while he was committed to passing over them, he heard this voice murmur with him again, saying ,""Remember your oath !"", he dared not turn, but, hurry up his sister, he soon came to his house.
Aubrey almost distracted herself. If before the high mind had been absorbed by a subject, how much more co",4
34,"A VAMPYRE:
A tale.
By John William Polidori.
THE superstition on which this story is smiling is very general in the East. Among the Arabs, it seems to be common: however, he did not extend his sons to the Greeks until after the establishment of Christianity; and he assumed his present somme only fro",3," first on earth, Vampyre keys sent, And thy horn shall be torn from his sepulchre; and when thou hast haunted the place of origin, and sucked the blood of all thy sap: there shall thy davghter, sister, wife, shall be broken, about midnight drain the stream of life: yet hate the banquet that is to st",3,"of his pencil, tracing the scenes of his place of origin; she then described him the dancecircling on the open plain, he painted, to him in all the brilliant covers of the young memory, the pomp of marriage that she remembered having looked at in her childhood; and then, turning to the sub-jocts tha",3
35,"A VAMPYRE:
That is right.
By John William Polidori.
The superstition on which his tale is based is a very general in the East. European Union Arabs it seems common: however, he did not depart from the Greeks until after the establishment of Christiariity; he normally assumed his present from the div",2,"in Italian and in the lalin. The Messlah was literally scrambled all over, and m arkod with sheets of paper, on which were also marks.
The old man said ,"" The Lord had scorned these books in the evening before he left, and forgot to put them with others; but, he said, he must lick until his return; ",3,"ipped, grapes, oranges and lindens, which gathered on its borders, and found the shade of two large bushes of myrtle, a marble seat with an ornamental wood back, on which we were told, the lord spent many of his furnaces and nights until 1 twelve hours, reading, writing, and talking to himself. ""I s",2
36,"A VAMPYRE:
A tale.
By John William Poidori.
The superstition on which this tale is based is a very general in the East. Among the Arabs it seems to be common: it did not extend to the Greeks until after the establishment of Christianity; and it took its present form only since the division of the La",3,"e a correlation could be coupled; but while they hadtened thus from the place, they seemed to ignore what they were looking at. They heard a lot of robbers, but they gradually began to lick reports, which they imagined to be only the invoking of individuals, whose interest was to expel the generally",3,"y clumsy. He has been described as an insensitive disposjlion, averse him to human nature, or contributing in any way to bleeding his sorrows, or to add to his pleasures. The fact is directly the opposite, the class can be clearly collected from these little anecdotes. All the finest feelings of the",3
37,"A VAMPYRE:
A tale.
By John Williain Polidorl.
THE superstition on which this tale is sounded so general in the East. Among Arabianf, then he appears to be common: he does not extend, however, to the Greeks until after the establishment of Christianity; he did not assume his present before from the d",3,"ter. A circumstratory that we learned, which our old friend at the cottage considered appropriate not to discography. He had a very beautiful daughter, with whom the lord was often seen waking up on the shore of the sea, and he had given him a piano-strong, and gave him the use of himself.
This was ",2,"a countryman. With respects his love or pleasure, I do not assume the right to give an opinion. Reports must be welcomed with caution, especially when they violate the moral integrity of a man; and whoever dares to justify himself before this terrible court where all must appear, Alono can censor th",3
38,"e: THEVAMPYRE;
A tale.
By John William Polidori.
The superstition on which this tale is based is very general in the East. Among the Arabs, it seems to be common: it did not extend to the Greeks until after the establishment of Christianity; and it took its present form only since the division of th",3,"s that gravely distressed, which he wanted her not to tease him. ""Oh, don touch him, if your spoil is for me, don't come near him !"" When, however, she asked whom he reproved, her only answer was :""True! Truo !"" And again, he threw himself into a state, wherever she couldn't raise him. It lasted man",3,"worried, is Lord Byron; I met him on my trips to the Iarid island of Tenedos, and I also visited him in Mjtylene ."" We had never heard of the fame of his secretary, as we had been a few years from home; but ""Childe Harolde"" being put in our hands, we recognized Calclos reclus on every page. Did we r",3
39,"A VAMPYRE:
A tale.
By John William Polidori.
The superstition on which his tale is based is very general in the East. Among the Arabs, it seems to be common: it has not, however, extends itself to the untiI Greeks after the establishment of Christianity; and it has taken its present form only since ",4,"l islands were distinctly observed, spreading the light blue wave with spots of emerald green. I rarely enjoyed a view more than I did; but our investigations are not like the dwarf of the person who had resided in this kingneant solitude: no one knew his name but Doininick, his banker, who had gone",3,"s been described as an ari insensitive provision, contrary to the assistant with the human nature, or cooperating in any way to appease his punishments, or add to his pleasures. The fact is directly the reverse, as can be clearly collected from these small amounts. All the finer feelings of the hear",4
40,"A VAMPYRE:
A tale.
By John William Polidori.
THE superstitlation on which this tale is founded is a very general in the East. Among the Arabs it seems to be common: it did not, however, extend to the Greeks until after the establishment of Christianity; and it only ensured its present form since the",3,"ter, the lord, was often seen walking on the sea, and he had bought him a piano-forte, and taunted him himself the use of it.
This was the information with which we separated from the peaceful island of Mitylene; our imagination all about the rock, guessing who this rambling in Greece could be. He h",4,"ship, seem to have their seat in her bosom. The tenderness, sympathy and charity seem to give all his actions; and his courteousness at the rest of Solite is a key reason to mark him as a being on which Rellgion sealed his heart, and on whose head, Benovolcence threw his coat. No man can read the pr",3
41,"A VAMPYRE:
A tale.
By John William Polidori.
The superstition on which this tale is based is very gencrale to the East. Ainong the Arabians it seems to be common: it did, however, oxtorid at the Greek temple only after the establishment of Christianity; and it has taken on its present form since the",3,"ciled with his present. His seigneury seemed to change from quinquel; he no longer resembled an apathetic being who had so surprised Aubrey; but as soon as his convalescere began to be quick, he gradually withdrew into the same state of mind, and Aubrey did not perceive any difference with the forme",3,"mstances began in a draconian painting—the dagger—his oath .—Ho woke up, he could not believe that it was possible—the dead are resurrected again !— He thought his imagination had conjured the image upon which his mind was based. It was impossible that it could be real — he decided, accordingly, to ",2
42,"A VAMPYRE:
A little.
By John William Poidori.
THE FOPESTITION on which this topic is stuffed is very general in the East. Among the Arabs it seems to be common: it did not, however, extend to the Greeks it after the establishment of Christianity; and it has on the Iy Assumod its present form since t",3," to mock in this way, a superior, infernal power, of which very riamo apparently made their freezed blood, he was silent.
The next day, Morniring Aubrey celebrated his excursion without lingering; Bo was surprised to obsess the salty melancholy of his host, and was concerned that his words, mocking ",4,"le, seemed to lose, in the shams and caresses of his sister, a memory of the past. If before, by her infantile caresses, she had gained her affection, now that the woman was beginning to appear, she was even more attached as a companion.
Miss Auhrey had no great winning beat who won the goze and app",3
43,"A VAMPYRE:
A tale.
By John William Polidori.
THE superstition on which this tale is based on so very general in the East. Among the Arabs, it seems to be commori n: just, however, does not extend to the Greeks if it is after the establishment of Christianity; and it has taken its present form only s",4," the hive that fled from a swifter chaser than any — from thought. His behavior, however, suddenly, got bad. Struck by the idea that he left with his absence all his friends, with friends among them, whose precence they were unconscious, he decided to enter again into society, and the watch narrowly",3,"visit the Armenian, but upon our return to the bass, we learned several particulars of the seigneur isolated. He had shared eight young girls when he was lost on the island, and even danced with them at the wedding party. He gave a cow to a man, horses to others, and cotton and silk to the girls who",3
44,"A VAMPYRE:
A tale.
By John William Polidori.
The superstition on which this tale is based is very general in the East. Am orig the Arabians it seems to be common: it does not, however, extend to the Greeks until after the establishment of the Christianity; and it has taken its present form since the",2,"t Palermo, all our doubts were dispelled. Falling in the company of Mr. FOSTER, the architect, a student of WYATTLES, who was traveling to Egypt on Greeco ,""The individual,"" he said ,""about whom yav are so worried, is Lord Byron; I met him on my trips to the island of Tenedos, and I also visited him",3," heart region sealed, and on whose head, Benevolence cast her coat. No man can read the previous pleasant ""laughters"" without feeling proud of him. As far as his rents or pleasures are concerned, I do not assume the right to give an opinion. The reports must be received with caution, with brilliance",4
