text_index,fixed_chunk,score_fixed,random_chunk_1,score_random_1,random_chunk_2,score_random_2
31,"THE VAMPYRE;
A Tale.
By John William Polldorl
THE superftitlon upon which lhis tale is founded is very general jn the East. Among the Arabians it appoars to be cominon: it did not, however, exlend itself to lhe Greeks until afler the establishmcnt of Christiclnity; and it has only assumed its preson",4," hope of tbeir house, to delay but sor cl few hours thot marriage, on which he denouncod themost heavy curses. The sorvants promised tbey would deliver it; bvt giving it to the physician, he thougbt itbetter not to harass any more tbe mind of Miss Aubrey by, what he considered, lhe ravings of a mani",3,"usy preparation. Morning came, and lhe sovnd of carriages brake upon his ear. Aubrey grcw almost frantic. Tbe curiosity os the servants at last overcamc their vigilance, they gradually stole away, leclving birn in tho custody of an helpless old woman. He sejzed lbe opportunity, wlth one bound was ou",2
32,"THE VAMPYRE;
A Tale.
By John William Polidori
THE superstition upon which this tale is foundcd is very general in tho East. Among the Arabians it appears to be cammon: it did not, bow-
cvor, extend itself to the Greeks until after the establishment of Christianity; and it has only aſsumed its preson",2,"rtunity 0f the vicious, whicb gcnera1ly prevajls over the retiring bashfulneſs of the virtuous indigent. There was one circumstance about the charity of his Lordship, which was still more linpressed upon hls mind: all those upori whom it was bestowed, inevitably found that lhere was a cu rseupon it,",2,"others; but,"" said ho, ""there they must lie until his return; far he is sa particu1ar, that were I to move one lhing without orders, he would frown upon mc for a week together; he is otherways very good. I once did him a servico; and I have lhe produce of lhis farm for the lrouble of taking care of ",2
33,"THE VAMPYRE;
A Tale.
By John William Polidori
THE superstition vpon wbioh this tale is fourided is very general intho East. Among the Arabians it appears lo be common: it did not, howeuer, extend itseIf to the Greeks until after the establishment of Chrislianity; and it has onlyassumed its present f",2,"of tho plaee, they positively ond unanimously affirmed, tbat, about sive years before, a certain He yduke, named Arnold Paul, had been heard to say, that, at Cassovia, on the frontiers of the Turkish Servia, he had been tormented by a uampyre, 6ut bad found a way to rid himself of the evil, by eatin",3,"nd had not bcen presented to the world, it bauing been thought by her guardians more fit that her presentation should he delayed until her hrother's retvrn from the coritinent, when he might be her protector. It was now, therofore, reso1vod that the noxt drawing-room, whjch was fast opproaching, sho",2
34,"THE VAMPYRE;
A Tale.
By Johri William Polidori
THE superstition upon which this tale is sourided is uery general jn the East. Among the Arabians it appears to be common: it did not, however, extend itſels to the Greeks until after the establisbment of Christianity; and it has only assumed its presen",2,"be adduced. Iri many ports of Greece it is considered as a sort 0f punishment after dealh, for soine heinous crime comrnitted whilst in existenee, that tbe deceased is not only doomed to vampyriſe, but compelled to confine his infernal visitations solely to those beings he loved most while upon eart",3,"easori lo repent their negligonce; for scarcely were the wbole of the party engaged in the nclrrow pass, when lhey were startled by the whistling af bvlletſ close to their heads, and by the echoed report of ſcverol guns. In an instant their guards had left them, arid, placing themselves behind rocks",2
35,"THE VAMPYRE;
ATale.
By J0hn WilIiam Polidori
THE superstition upon which lhis tale lſ founded iſ very general iri the East. Am0ng the Arabians it appears to he common: it did not, however,extend itself to the Greeks until after the establishment of Chriſtiariity; clnd it has orily assumed its preser",3,"rise from misfortune, but from some feeling within, that appeared lo indicate o saul conscious of a brighter realm. Her step was not that light footing, which strays where'er a buttcrfly or a col0ur may altract—it was sedate andpensive. When alone, her face was never brightened by the smile of joy; ",3," to bask in the smile 0f royalty, hastened tbilher. Aubrey was there with his sister. While he was standing in a corrier by himself, heedless of all around him, engaged in the remembranoe thol the first time he had feen Lord Rutbven was in that very place—he felt himself svddenly seized by the orm, ",2
36,"THE VAMPYRE;
A Tale.
By John William PoIidori
THE superstition upon which this tale is founded is uory general in the East. Among the Arabians it appears to be common: it did not, however, extend itself to the Greeks until after the establishment of Christianity; and it haf only assumed its present ",3,"is ſister, all memory of the past. Is she before, by her infantine caresses, had gained his offeotion, now that the womari began to appear, she waſ stilI more attaching as a companion.
Miss Aubrey had not that winning grace which gains the gaze arid applause of the drawing-room assemblies. There wos",2,"n should be delayed until her brother's return from the continent, wben he might be her pratectar. It was now, therefore, resolved that the next drawing-room, which wasfaſt approaching, shauld be the epoch of bereritry into thc ""busy scene."" Aubrey wou1d rather have remoinod in tbe mansion of his fa",2
37,"THE VAMPYRE;
A Tale.
By John Williain Polidorl
THE superstition upon which this tale is sounded if very general in the East. Among tbe Arabianf il oppears to be common: it dld not, howeuer, extend itself to the Greeks until after the establiſhmerit of Christianily; clnd it has only assumed its prese",2,"hat light brilliancy which only exlsts in the heated atmosphere of a crowded apartment. Her blue eye was ncvor lit up by the levity of the mind heneath. There was a melancholy charm about it which did not seem to arise from misfortune, but from some feeling within, that appeared to indicate a soul c",2,"rlments ori lhe grovnd-sloor—an entrance hall, a drawing-room, a sitting porlour, and a bed-room, with a spacious c1oset annexed. They were all simply decorated: plain green-stainedwallf, marble tables on either side, a large myrtle in the centre, and a small fountain beneath, which could be made to",3
38,"THEVAMPYRE;
A Tale.
By John Wllliam Polidori
THE superstition upon which tbis tale is founded is very general in lhe East. Among the Arablans it appears to be common: it did not,however, extend itself to the Greekſ until after lhe establishment of Christianity; and it has only assumed its present fo",3,"nd threw the clshes into his grave. The same measvres were cldopted wilh the corfes of those perſons who had prcviously djed from vampyrism, lesl they should, in their turn, become agents upon others who ſurviued them.
The universal belief if, that a person sucked by o varnpyre bccames a vampyre him",2,"e formed the model for a palnter wjshi ng to pourtray on canvass tbo promised hope os the faithful in Mahomet's paradise, save that her eyes spoke too much mind for any one to think she could helong to those who had no souls. As she danced vpon the plain, or tripped along the inountain's side, one w",3
39,"THE VAMPYRE;
A Tale.
By Jobn Wi1liam Polidori
THE superstition upon which lhis tale is founded is very general in the East. Among the Arabiaris it appears to be common: it djd not, however, extcnd jtseIf to the Greeks untiI after the establishmerit of Christianity; and it has only assumed its presen",3,", she inquired to whom he referred, bis only answer was, ""True! true!"" and again he fank into a state, whence not even she could rouse him. This lclsted mariy months: gradually, however, as the year was passing, his incoherenees became less frequont, and hismind threw off a portjon of its gloom, whi",3,"et: it was open, but we did not think ourselves justified in examiriing the contents. On the tablet of the rocess lay Voltaire's, Shakspeare's, Boileau's, and R0usscau's works complete; Volney's Ruins of Empires; Zimmerman, in the German language; Klopstock's Messiah; Katzehue's noveIs; Schiller'f p",2
40,"THE VAMPYRE;
A Tale.
By John William Polidori
THE superstitlon upon wbioh this tale is founded is very generol in the East. Among the Arabians it appears to be common: lt did nol, however, extend itself to the Greeks until after lhe eslablishment of Chrlstianity; and it has only assurned its present",2,"ntly the eycof animated nature, for that sleopy luxurious look of the ariimaI suited but to the tasto ofan epicure. The light step of Ianthe often accompanied Aubrey in his search after antiquities, and often would the unconscious girl, origaged in the pursuit of a Kashmere butterfly, fhow the wholo",3,"m to believe hor, for it had been, remarked, that lhose who had darcd to questiori theirexistence, always had some proof givcn, which obliged them, with grief and heart6reaking, to oonfess it was true. She detailed to him the traditional appearance of lhese monstcrs, and his horror was inoroafed, by",3
41,"THE VAMPYRE;
A Tale.
By John Williclm Polidori
THE superstition upon which this tale is founded is very gencral in the East. Ainong lhe Arabians it appears to be common: it did not, however, oxtoriditself to tbe Greeks until after the establishment of Chrlstianity; and it has onIy assumed its presen",2,"nsane, his exultalion and pleasure o0uld hardly be coricealed from those among whom he had gained this inf0rmation. He hastened to the house of his former c0mpanion, orid, by constant attendance, and the pretence of great affection for the brolher and interest ln his fate, he gradually won the ear o",4,"ving il to the physician, he thought it betler not to harass any more the mind of Misf Aubrey by, what he considered, thcrauings of a maniac. Night passed on without rest to the busy inmates of the house; and Aubroy heard, with a horror that may more easily be conceived thari described, the notes of",2
42,"THE VAMPYRE;
A Tole.
By JohnWiIliam Po1idori
THE fuperſtition upon which this ta1c is fourided is very generol in thc East. Among the Arabians it appears to be common: it did nol, however, extend itself to the Greeks unlil after the estahlishment of Christianity; and it has onIy assumod its present ",3,"e, andbecame hiſ c0n-
slanl attendant. When the latter recavered from his delirivm, he was horrifled and startlod at the sight of him whose image he had now oombined with thclt of a Vampyre; but Lord Ruthveri, by his kind words, impIying almost repenlance for the fault that bad c aused their separat",3,"ng another room, fourid his sls ter surrounded by several, apparently in earnest conversation; he attempted to pass and get near her, when one, whom he requested to move, turned round, ondreucaled to him those features he most abhorred. Hc sprang forward, sejzed his sister's arm, and, with hurried s",2
43,"THE VAMPYRE;
A Tale.
By John Wil1iain Polidori
THE superstiti0n upon which this tale is founded if very general iri the East. Among the Arabians it appea rſ to be commori: jt did not, however, extend itself to the Greeks unlil after the cstablishment of Christianity; and it has only assumed its pres",3,"s his mind absorbed 6y one terriblesubject. His incohercnce became at last so great, that he waſ c0nfined to his chamber. There he would often lie for days, incapable of being roused. He had become emaciated, bis eyes had atlclined a glassy lustre;—tbe only sign of clffection and recoIlectionremaini",3,"l ſtreamlet glided away, grapes, orariges and limes were clustcrjng together on ils borders, and vnder the ſhade of two large myrtle bushes, a marblc seat wilh an ornarnental wooden back was placed, ori which we were told, the lord passedmany of his evenirigs and nights till lwelve o'clock, readjng,",3
44,"THE VAMPYRE;
A Tale.
By John Wil1iam Polidori
THE superstltion upon which tbis tale is founded is very general in the East. Am orig the Arabians it appoars to be common: it did not, however, extend itself to the Greeks until after the esta6lishment of Chrislianity; and it haſ anly assumed its presen",2,"ity and irinocence. The veracious Toumefort gi ues a long accourit in his travels of several astonishing cases of vampyrisin, to which he pretends to hclve boen an eyewitness; and Calmet, in his great work upon this subject, besides a variety af anecdotes, and tradjtionary narratives illustrative of",2,"s servant to seek other apartmentſ, and calling upon the mother of the lady, informed ber of allhe knew, not only with regard to her davghter, hut cllso conoerning the oharacter of his Lordship. The assignation was prevented. Lord Ruthven next day merely sent his servant to notify his oomplctc assen",2
45,"THE VAMPYRE;
A Tclle.
By John Wi1liam Polidori
THE superstition upon whichthis tale is founded is very gerieral in lhe East. Among tbe Arabians it appears to be eommori: it did not, howcver, extend itself ta the Greekſ until after the establishinent of Cbristianity; and it has only aſsvmed its prese",3,"ation. Leaving hor under the protection of a matron, he retired into a recess, and there gave himself up to his awn devouring thoughts. Pcrcei ving, at last, that many wero leaving, he roused himself, and ontering another room, found hif sister surrounded by several, appareritly in earnesl conversat",2,"embled. Lord Ruthven was the first to perceive him: he iinmediately approached, and, tclking his arm by force, hurried him from thc room, speeehless with rage. When an the staircase, Lord Ruthven whispered in his oar—""Remember your oath, and know, if not my bride to day, yourfisler is dishonoured. W",3
46,"THE VAMPYRE;
A Tale.
By John Willjam Polidori
THE superstition upon which this tale is founded js very general in lhc East. Among the Arabians it appears tobe common: it did not,however, extend itself to the Greeksuntil after the estclbIishment of Christianity; and it has only assumed its present fo",2,"hing tooth, arid haggard lip; Then stalkirig to thy sullen grave, Go—and with Gouls and Afrits rave, Till these in h0rror shririk away Fromspectre more accursed than they.
Mr. Southey has also iritroduced iri his wild but beautiful poem of ""Thalaba,"" lhe vampyre corse of the Arclbian maid Orieiza, w",2,"nd iri a few dayf they had passed the circling waters.
Hitherto, Au brey hod bad no opportunity of studying Lord Rvthven's charoctor, andnow he fourid, lhat, though many more of his actians werc cxposod to his uiew, the results osfered different conclusions from the opparent motivesto his conduct. H",3
47,"THE VAMPYRE;
A Talc.
By Jahn Willlam Polldori
THE superstition upon wbich this tale is founded is very generalin the Eaſt. Among the Arabians it appears to be common: it did not, howover, extend ilself to the Greeks unlil aster the establishment os Christianity; and it has only asfumed its prcsent f",2,"omance of his solitary haurs, he was startIed at finding, that, except in the tallow and wax candles that flickered, not from the presenoe of a ghosl, but from wclnt of snuffing, there was no foundation in reaI life for any 0f thal congeries of pleosing pictures and descriptions contained iri those ",3,"rriage, on which he denounced the most heavy curses. The scrvarits promised they would de1iver it; but giving it to the physician, he thought it better not to harass any more tbe mind of Miss Aubrey by, what he considered, the ravirigs of a maniac. Night passed ori with0ut rest to the busy inmates o",2
